grupo;nombre;calorias;proteinas;carbohidratos;grasas;fibra
Carnes y derivados;Carnero, hígado de;121;19.9;2.6;4;0
Carnes y derivados;Carnero, panza de (mondongo);72;15.7;0;0.6;0
Carnes y derivados;Carnero, patas sancochadas de;108;20.9;0;2.1;
Carnes y derivados;Carnero, pulmón de (bofe);77;13.4;0;2.2;0
Carnes y derivados;Carnero, riñón;109;18;0.8;3.2;0
Carnes y derivados;Carnero, sesos de;115;10;0;7.8;0
Carnes y derivados;Carnero, pulpa gorda;267;16.9;0;21.6;0
Carnes y derivados;Carnero, pulpa muy magra;136;19;0;6.1;
Carnes y derivados;Carnero pulpa semigorda;253;18.2;0;19.4;0
Carnes y derivados;Cerdo, carne sin hueso;198;14.4;0.1;15.1;0
Carnes y derivados;Cerdo, hígado de;121;18.5;1.7;4.7;0
Carnes y derivados;Cerdo, patas semigordas;284;20;0;22;
Carnes y derivados;Cerdo, pulmón de (bofe);79;13.5;0;2.4;0
Carnes y derivados;Cerdo, riñón de;139;13.9;0;8.8;0
Carnes y derivados;Chivo, pulpa de carne de;115;19.4;0;3.6;0
Carnes y derivados;Conejo, pulpa de carne de;136;20.1;0;5.6;0
Carnes y derivados;Gallina, pechuga de (sin piel);108;19.2;0;2.9;0
Carnes y derivados;Gallina, pierna de (sin piel);120;20.6;0;3.6;0
Carnes y derivados;Majaz, pulpa de carne;108;21.4;1.4;1.2;
Carnes y derivados;Motelo, pulpa de carne de;113;21.4;1.4;1.8;
Carnes y derivados;Pato, carne de;326;16;0;28.6;0
Carnes y derivados;Pavo, carne de;160;20.4;0;8;0
Carnes y derivados;Pollo, pulpa de carne de;119;21.4;0;3.1;0
Carnes y derivados;Pollo, corazón de;153;15.6;1.6;9.3;0
Carnes y derivados;Pollo, hígado de;125;18;3.4;3.9;
Carnes y derivados;Pollo, sangre cocida;69;16;;0.1;
Carnes y derivados;Pollo, sangre cruda de;65;15;;0.1;
Carnes y derivados;Rana, carne de;73;16.4;0;0.3;0
Carnes y derivados;Tortuga charapa, carne de;78;16.4;0.1;0.9;
Carnes y derivados;Res, bazo de;92;18.9;0;1.2;0
Carnes y derivados;Res, cabeza sancochada de;110;18.6;0.2;3.4;
Carnes y derivados;Res, pulpa de carne de;105;21.3;0;1.6;0
Carnes y derivados;Res, corazón de;102;16.6;0.1;3.5;0
Carnes y derivados;Res, criadillas de;58;9.8;0.4;1.8;
Carnes y derivados;Res, hígado de;127;20;3.3;4.6;0
Carnes y derivados;Res, lengua de;171;16.5;0.3;11.2;0
Carnes y derivados;Res, panza de (mondongo);104;16.9;0;3.5;0
Carnes y derivados;Res, pata sancochada de;152;23.7;0;5.6;0
Carnes y derivados;Res, pulmón de (bofe);83;17.2;0;1.1;0
Carnes y derivados;Res, riñón de;90;15.1;0.3;2.9;0
Carnes y derivados;Res, sesos de;135;11.3;0;9.6;0
Carnes y derivados;Res, ubre de;229;14.1;;19.2;0
Carnes y derivados;Carnero, carne seca sin hueso (chalona);315;50.3;;11.7;
Carnes y derivados;Chicharrón de cerdo (cocido);650;11.3;;61.4;
Carnes y derivados;Chicharrón de prensa;436;23.9;;37.2;
Carnes y derivados;Chorizo;287;21;;21.9;0
Carnes y derivados;Jamón del país;344;24.7;;26.4;0
Carnes y derivados;Jamonada;333;15.7;2.8;29.5;0
Carnes y derivados;Mortadela;257;9.8;9.4;19.7;0
Carnes y derivados;Paté;496;10.9;1.1;49.8;0
Carnes y derivados;Queso de chancho;244;20.1;;17.3;
Carnes y derivados;Relleno;107;14.4;3.2;5;0
Carnes y derivados;Salchicha blanca chica;441;12;2;43.2;0
Carnes y derivados;Salchicha blanca grande;349;13.6;3.5;32.3;0
Carnes y derivados;Hot dog;366;11;2.1;34.3;
Carnes y derivados;Salchicha de “Huacho”;453;12.9;2.4;44;0
Carnes y derivados;Tocino;490;13.5;0.8;47.9;0
Leches y derivados;Crema de leche, espesa;345;2.05;2.8;37;0
Leches y derivados;Crema de leche, rala;195;2.7;3.7;19.3;0
Leches y derivados;Leche condensada endulzada;322;7.9;53.7;9.2;0
Leches y derivados;Leche en polvo descremada;362;36.2;52;0.8;0
Leches y derivados;Leche en polvo entera;484;27;36.1;26.1;0
Leches y derivados;Leche evaporada descremada;79;7.1;10.5;0.9;
Leches y derivados;Leche evaporada entera;133;6.3;10.9;7.7;0
Leches y derivados;Leche fresca c/menos de 1% grasa;43;3.5;4.7;1;
Leches y derivados;Leche fresca caja entera Plusa;64;3.2;5.1;3.2;
Leches y derivados;Leche fresca de cabra;66;3.2;5;3.8;0
Leches y derivados;Leche fresca de vaca;63;3.1;4.9;3.5;0
Leches y derivados;Leche materna;70;1;6.9;4.4;0
Leches y derivados;Queso fresco de cabra;173;16.3;3.4;10.3;0
Leches y derivados;Queso fresco de vaca;264;17.5;3.3;20.1;0
Leches y derivados;Queso mantecoso;396;28;3.3;30;
Leches y derivados;Queso parmesano duro;440;39.1;1.8;30.3;0
Leches y derivados;Yogur de leche entera;61;3.5;4.7;3.3;0
Leches y derivados;Yogur frutado de leche semidescremada;97;4.1;18.5;2.8;0.3
Leches y derivados;Yogur frutado leche descremada;95;4.4;19;0.2;0
Leches y derivados;Yogur natural leche descremada;56;5.7;7.7;0.2;0
Huevos y derivados;Huevo de charapa P.C.;222;16.3;1.8;16;
Huevos y derivados;Huevo de gallina, clara de;51;10.9;0.7;0.2;0
Huevos y derivados;Huevo de gallina, duro;139;12.9;1.9;8.4;0
Huevos y derivados;Huevo de gallina P.C.;141;13.5;1.8;8.4;0
Huevos y derivados;Huevo de gallina, yema de;354;15.6;1.9;30.9;0
Huevos y derivados;Huevo de tortuga motelo P.C.;143;16.4;1.6;7.3;
Huevos y derivados;Huevo de pata P.C.;166;13.1;2.3;11.1;0
Huevos y derivados;Huevo de pata, yema de;426;15.1;2.8;38.8;0
Huevos y derivados;Huevo de tortuga taricaya P.C.;178;15.1;2.9;11.3;
Bebidas alcohólicas y analcohólicas;Cerveza;36;0.3;5.1;0;0
Bebidas alcohólicas y analcohólicas;Chicha de aguaje;54;0.4;11.2;0.8;
Bebidas alcohólicas y analcohólicas;Chicha de cebada;24;0.1;5.5;0.2;
Bebidas alcohólicas y analcohólicas;Chicha de jora;28;0.4;5.8;0.3;
Bebidas alcohólicas y analcohólicas;Chicha de maíz morado con azúcar;20;0;4.9;0;
Bebidas alcohólicas y analcohólicas;Chicha de maní;34;0.5;6.3;0.8;
Bebidas alcohólicas y analcohólicas;Chicha de pijuayo;47;0.8;10.6;0.1;
Bebidas alcohólicas y analcohólicas;Chicha de soya;41;0.6;9.1;0.2;
Bebidas alcohólicas y analcohólicas;Chicha de yuca (masato);37;0.2;8.9;0.1;
Bebidas alcohólicas y analcohólicas;Coca Cola;39;0;10.5;0;0
Bebidas alcohólicas y analcohólicas;Inca kola;41;0;11;0;
Bebidas alcohólicas y analcohólicas;“Leche” de soya;38;3;3.8;1.4;1.3
Bebidas alcohólicas y analcohólicas;Té sin azúcar;1;0.1;0.2;0;0
Bebidas alcohólicas y analcohólicas;Vino blanco (grado alcohólico: 12,0 %);114;;104;;
Bebidas alcohólicas y analcohólicas;Vino tinto  (grado alcohólico: 10,2 %);94;;104;;
Productos azucarados;Azúcar granulada o refinada;384;0;99.2;0;0
Productos azucarados;Azúcar rubia;380;0;97.2;0;0
Productos azucarados;Chancaca;324;0;83.9;0;0
Productos azucarados;Miel de abeja;330;0;85.6;0;0.2
Productos azucarados;Miel de caña;282;0.3;72;0.2;0
Productos azucarados;Mermelada de durazno;196;0.6;50.7;0.1;
Productos azucarados;Mermelada de frutilla;229;0.4;59.4;0.2;
Misceláneos;Achiote seco;388;11.3;74.9;5.3;
Misceláneos;Algas;249;67.8;15.3;6.5;
Misceláneos;Azafrán (palillo fresco);54;0.4;5.7;3.6;
Misceláneos;Café, grano sin tostar;203;11.7;68.2;10.8;
Misceláneos;Café, sin azúcar;2;0.1;0.6;0;0
Misceláneos;Caldo de ave, tabletas;314;13.2;6.3;25.2;
Misceláneos;Caldo de carne, tabletas;300;5.8;13.7;24.7;
Misceláneos;Chocolate simple con azúcar;248;3.8;75.1;16.8;
Misceláneos;Cochayuyo;50;1.7;13.1;0.2;
Misceláneos;Cocoa;404;19;47.8;17.1;
Misceláneos;Comino;375;17.8;44.2;22.3;10.5
Misceláneos;Extracto de algarrobo en polvo;340;12;65.8;3.2;
Misceláneos;Hongos (callampa);38;3.2;5.6;0.3;
Misceláneos;Laurel;188;4.2;47.1;1.2;
Misceláneos;Pimienta negra;255;11;71;3.3;26.5
Misceláneos;Té hojas secas;308;8;71.4;4;
Misceláneos;Vinagre;21;0;6;0;0
Misceláneos;Yuyo fresco P.C.;41;2.1;8;0.1;
Otros alimentos nativos;Achira blanca (rizoma, raíz);101;1.4;23.8;0.1;
Otros alimentos nativos;Achira morada (rizoma, raíz);98;1.4;23.2;0.1;
Otros alimentos nativos;Alpaca, pulpa de carne de;107;24.1;0.3;0.5;
Otros alimentos nativos;Aska, al estado natural (crustáceo);460;56.6;11.1;19.4;
Otros alimentos nativos;Aska, sometido a cocción (crustáceo);456;56;10.9;20.3;
Otros alimentos nativos;Camote de Huarayoc;111;1.6;26.1;0.2;
Otros alimentos nativos;Camote deshidratado;348;3.7;82.4;0.7;
Otros alimentos nativos;Camote deshidratado tratado con lejía;348;5.3;79.6;0.8;
Otros alimentos nativos;Carambola (fruta);35;1;7.4;0.6;2.8
Otros alimentos nativos;Caya ocas (tubérculo);339;4;79.6;0.8;
Otros alimentos nativos;Caza o parka (leguminosa);345;25.1;58.6;2;
Otros alimentos nativos;Chijchipa P.C. (hortaliza);45;3.3;9.3;0.4;
Otros alimentos nativos;Chullcos, ajos silvestres (hortaliza);92;1.8;23.5;0.5;
Otros alimentos nativos;Cushuro o nostoc deshidratada (alga);242;29;46.9;0.5;
Otros alimentos nativos;Cushusho (tubérculo);299;16.3;61.9;0.5;
Otros alimentos nativos;Cuy, carne de;96;19;0.1;1.6;0
Otros alimentos nativos;Dale - dale (tubérculo);120;4.3;26.5;0.2;
Otros alimentos nativos;Frijol de Iberia (leguminosa);346;22.7;62.3;1.3;
Otros alimentos nativos;Gigante rojo, cáscara del grano (leguminosa);352;4.4;80.3;0.7;
Otros alimentos nativos;Gigante rojo, cáscara fresca del grano (leguminosa);126;2.7;28;0.2;
Otros alimentos nativos;Gigante rojo, pulpa fresca (leguminosa);167;16.3;25.7;0.6;
Otros alimentos nativos;Gigante Rojo, pulpa seca (leguminosa);336;31.6;52.3;1.3;
Otros alimentos nativos;Hemico leguminoso (leguminosa);334;25.6;56.1;1.7;
Otros alimentos nativos;Hiwicto marfil oscuro (cereal);354;9;76.8;2;
Otros alimentos nativos;Hiwicto negro (cereal);351;9;74.6;2.7;
Otros alimentos nativos;Iguana papa (tubérculo);77;5;15.3;0.2;
Otros alimentos nativos;Kara ceniza o kala (cereal);354;11.6;73.6;2.3;
Otros alimentos nativos;Kara color pajizo (cereal);351;7.2;76.9;2.5;
Otros alimentos nativos;Llama, carne seca de (charqui);279;57.7;1.1;3.6;
Otros alimentos nativos;Llampun Cjana “Cjana-cjana” (hortaliza);250;29.5;36.8;6;
Otros alimentos nativos;Llipta sara (variedad de maíz);370;7.4;75.9;4.2;
Otros alimentos nativos;Nopu - zumaca (tubérculo);148;7.1;31.1;0.4;
Otros alimentos nativos;Oca deshidratada (ccaya) P.C.;325;4.3;75.4;1.1;
Otros alimentos nativos;Oca P.C.;61;1;13.3;0.6;
Otros alimentos nativos;Pallar del río Manú (leguminosa);332;22;60.2;0.9;
Otros alimentos nativos;Poroto de cumbasa (leguminosa);360;22.5;57.3;5.5;
Otros alimentos nativos;Quillu uncucha (tubérculo);152;4.5;34.3;0.2;
Otros alimentos nativos;Sachapapa blanca, bulbo;126;2.5;29.4;0.1;
Otros alimentos nativos;Sachapapa, bulbo aéreo;138;2.3;32;0.3;
Otros alimentos nativos;Sajino, pulpa de carne de;106;21.4;1.3;1.1;
Otros alimentos nativos;Tallapaqui culli (tubérculo);75;2;16.9;0.2;
Otros alimentos nativos;Tallapaqui yurak (tubérculo);92;2;21.2;0.1;
Otros alimentos nativos;Tomate de palito (hortaliza);43;1.6;10.8;0.2;
Otros alimentos nativos;Venado, pulpa de carne de;110;22.9;1.4;0.8;
Otros alimentos nativos;Venado, carne seca de;151;32.4;2.4;1.4;
Otros alimentos nativos;Warr’a P.C. (fruta);102;1.5;26.4;0.2;
Otros alimentos nativos;Yak’u P.C. (fruta);116;1.8;25.3;2.2;
Otros alimentos nativos;Yuca de moja;168;1.5;40.2;0.2;
Otros alimentos nativos;Zapallito (hortaliza);55;1.9;14.3;0.1;
Otros alimentos nativos;Zapallo avinca (hortaliza);28;0.9;7.3;0.1;
Otros alimentos nativos;Zapallo ombligo (hortaliza);21;0.9;4.8;0.2;
Otros alimentos nativos;Ziqui - zapa (hormiga);486;36.3;18.4;28.9;
Alimentos infantiles;Al 110 maternizada;502;14;55.3;25;
Alimentos infantiles;Cerelac manzana;414;11;75.6;7.4;
Alimentos infantiles;Cerelac trigo;425;11.5;77.2;7.8;
Alimentos infantiles;Eledon maternizada;417;27.9;49.8;12;0
Alimentos infantiles;Nan maternizada;509;11.4;57.7;26;
Alimentos infantiles;Nestúm cereal mixto;380;9.4;82.9;1.2;
Alimentos infantiles;Nestum tres cereales;376;10.7;77.8;2.4;
Alimentos infantiles;Pelargón maternizada;458;16.5;59.6;17.1;
Leguminosas y derivados;Arveja partida, harina de;346;21.6;64.4;1.1;
Leguminosas y derivados;Arveja, fresca sin vaina;106;7.1;18.8;0.6;5.1
Leguminosas y derivados;Arveja, seca sin cáscara;351;21.7;61.1;3.2;25.5
Leguminosas y derivados;Arvejón;342;21.4;61.9;1.9;25.5
Leguminosas y derivados;Frijol aguisho;333;22.7;59.1;1.6;24.9
Leguminosas y derivados;Frijol amarillo común;334;21.1;61;1.5;25.1
Leguminosas y derivados;Frijol bayo ;331;19;63.2;0.9;24.9
Leguminosas y derivados;Frijol bayo americano;333;20.3;61.5;1.5;24.9
Leguminosas y derivados;Frijol bocón o chileno (Sarandaja);323;22.2;62;0.5;24.9
Leguminosas y derivados;Frijol bountiful bean;334;17.3;65.2;0.9;
Leguminosas y derivados;Frijol bush bean;329;24.2;56.8;1.6;24.9
Leguminosas y derivados;Frijol caballero;329;22.9;58.3;1.5;15.2
Leguminosas y derivados;Frijol caballero o blanco cocido;92;5.1;17.5;0.4;6.3
Leguminosas y derivados;Frijol california;333;20.7;59.9;2.1;24.9
Leguminosas y derivados;Frijol canario;339;21.9;60.1;2.1;25.1
Leguminosas y derivados;Frijol canario cocido;85;5.2;15.5;0.5;10.4
Leguminosas y derivados;Frijol canario fresco;166;9.7;31.5;0.5;
Leguminosas y derivados;Frijol canario serranito;339;19.2;63.3;1.8;24.9
Leguminosas y derivados;Frijol caraotas;329;21.2;60;1.4;24.9
Leguminosas y derivados;Frijol castilla;330;22.5;58.3;1.8;24.9
Leguminosas y derivados;Frijol chavín;335;19.2;63.1;1.4;24.9
Leguminosas y derivados;Frijol chiclayo;325;21.4;58.2;1.6;24.9
Leguminosas y derivados;Frijol chiclayo dosmesino fresco;104;8.4;16.6;0.4;
Leguminosas y derivados;Frijol cocacho;331;21.3;60.8;1.2;24.9
Leguminosas y derivados;Frijol dulce (Ancash);338;19.4;62.7;1.8;24.9
Leguminosas y derivados;Frijol negro;332;18.2;63.4;1.3;15.2
Leguminosas y derivados;Frijol nucya blanco;338;20;62.1;1.9;24.9
Leguminosas y derivados;Frijol nucya plomo;334;19.8;62;1.6;24.9
Leguminosas y derivados;Frijol palo;345;18.4;66.1;1.4;
Leguminosas y derivados;Frijol palo fresco sin vaina;143;8.9;26;0.8;
Leguminosas y derivados;Frijol panamito;336;21.5;60.7;1.7;24.9
Leguminosas y derivados;Frijol plomo;337;20.1;62;1.8;24.9
Leguminosas y derivados;Frijol pole bean;331;22.4;59.7;1.2;24.9
Leguminosas y derivados;Frijol red kidney;332;19.2;62.6;1.2;15.2
Leguminosas y derivados;Frijol shimpe fresco;51;3.7;9.1;0.1;
Leguminosas y derivados;Frijol soya;401;28.2;35.7;18.9;9.3
Leguminosas y derivados;Frijol tarhui o chocho cocido con cáscara;151;11.6;9.5;8.6;2.8
Leguminosas y derivados;Frijol tarhui o chocho, harina de;458;49.6;12.9;27.9;
Leguminosas y derivados;Frijol tarhui o chocho, seco;277;17.3;17.3;17.5;
Leguminosas y derivados;Frijol terciopelo;358;21;58.5;5.6;
Leguminosas y derivados;Frijol vacapaleta;328;21;59.4;1.6;24.9
Leguminosas y derivados;Frijol white kidney;330;22.1;59.9;1.1;15.2
Leguminosas y derivados;Garbanzo cocido;99;2.5;18.9;1.8;7.6
Leguminosas y derivados;Garbanzos;362;19.2;60.1;6.1;17.4
Leguminosas y derivados;Guaba fresco;141;10.7;24;0.7;
Leguminosas y derivados;Guaba seco;346;20.3;63.3;2.1;
Leguminosas y derivados;Habas frescas, sin cáscara y sin vaina;151;11.3;25.9;0.8;4.2
Leguminosas y derivados;Habas secas con cáscara cruda;340;23.8;60.1;1.5;
Leguminosas y derivados;Habas secas sin cáscara;335;25.9;55.3;2.4;25
Leguminosas y derivados;Habas secas sin cáscara cocida;102;7.3;18.5;0.5;5.4
Leguminosas y derivados;Habas, harina de;343;24.3;59.6;1.9;1.7
Leguminosas y derivados;Lentejas chicas;339;22.6;61;1;30.5
Leguminosas y derivados;Lentejas chicas cocidas;97;6.4;18.3;0.1;7.9
Leguminosas y derivados;Lentejas grandes;338;23.2;61;1.1;30.5
Leguminosas y derivados;Pallar morado;336;20;62.8;1.3;19
Leguminosas y derivados;Pallar seco;331;20.4;61.4;1.2;19
Leguminosas y derivados;Pallar sin cáscara;337;21.6;61.6;1.4;19
Leguminosas y derivados;Pallar con cáscara cocida;103;5.9;19.7;0.4;7
Tubérculos, raíces y derivados;Arracacha o racacha;97;0.7;;0.3;
Tubérculos, raíces y derivados;Ashipa;178;1.4;42.7;0.3;1.9
Tubérculos, raíces y derivados;Camote amarillo sin cáscara;116;1.2;27.6;0.2;3
Tubérculos, raíces y derivados;Camote blanco;119;1.7;28.3;0.1;
Tubérculos, raíces y derivados;Camote morado sin cáscara;110;1.4;25.7;0.3;
Tubérculos, raíces y derivados;Camote, harina de;353;2.1;84.3;0.9;3
Tubérculos, raíces y derivados;Curao;65;1.6;14.7;0.1;
Tubérculos, raíces y derivados;Koshñipa;142;1.6;33.6;0.2;
Tubérculos, raíces y derivados;Kuros;98;1.8;22.6;0.2;
Tubérculos, raíces y derivados;Llacón;54;0.3;12.5;0.3;
Tubérculos, raíces y derivados;Maca (tubérculo seco);314;11.8;66.3;1.6;
Tubérculos, raíces y derivados;Maca silvestre;71;3.5;13.2;1;
Tubérculos, raíces y derivados;Maca, afrechillo;330;10.5;73.4;0.6;
Tubérculos, raíces y derivados;Maca, almidón;350;6.1;80.1;1.2;
Tubérculos, raíces y derivados;Maca, pasta integral;292;14;68.4;1;
Tubérculos, raíces y derivados;Mashua P.C.;50;1.5;9.8;0.7;
Tubérculos, raíces y derivados;Olluco sin cáscara;62;1.1;14.3;0.1;
Tubérculos, raíces y derivados;Papa amarilla sin cáscara;103;2;23.3;0.4;0.4
Tubérculos, raíces y derivados;Papa blanca;97;2.1;22.3;0.1;2.4
Tubérculos, raíces y derivados;Papa chuño negro;333;4;79.4;0.2;
Tubérculos, raíces y derivados;Papa color morado deshidratada;324;8.7;74.1;0.2;
Tubérculos, raíces y derivados;Papa helada amarga;180;1.8;42.1;0.6;
Tubérculos, raíces y derivados;Papa huayro con cáscara;70;1.9;15.9;0.1;
Tubérculos, raíces y derivados;Papa moraya chuño pelado;323;1.9;77.7;0.5;
Tubérculos, raíces y derivados;Papa seca;322;8.2;72.8;0.7;
Tubérculos, raíces y derivados;Papa, harina de;332;6.4;77.1;0.4;5.9
Tubérculos, raíces y derivados;Papas deshidratadas con lejía;319;8;73.1;0.3;
Tubérculos, raíces y derivados;Pituca o taro;102;1.6;23.2;0.5;4.1
Tubérculos, raíces y derivados;Pituca, harina de;342;8.1;78.6;0.3;
Tubérculos, raíces y derivados;Radiche;81;1.8;18.6;0.1;
Tubérculos, raíces y derivados;Remolacha raíz;43;1.6;9.6;0.2;2.8
Tubérculos, raíces y derivados;Sachapapa;112;1.8;23.5;1.5;4.1
Tubérculos, raíces y derivados;Sachapapa, tubérculo;141;2.7;33;0.1;
Tubérculos, raíces y derivados;Yuca amarilla fresca sin cáscara;161;0.6;39.1;0.2;1.8
Tubérculos, raíces y derivados;Yuca asada;183;0.6;44.4;0.3;1.8
Tubérculos, raíces y derivados;Yuca blanca fresca sin cáscara;162;0.8;39.3;0.2;1.8
Tubérculos, raíces y derivados;Yuca blanca sancochada;150;0.5;36.4;0.2;1.8
Tubérculos, raíces y derivados;Yuca, harina de;335;1.7;80.9;0.5;
Tubérculos andinos;Oca variedad nativa caya oga con cáscara;30;0.8;15.4;0.4;9.2
Tubérculos andinos;Oca variedad nativa garwuaricra con cáscara;29;0.9;13.5;0.4;7.6
Tubérculos andinos;Papa variedad nativa capulí con cáscara ;115;1.2;31.5;0.3;4.3
Tubérculos andinos;Papa variedad nativa caramarquina con cáscara;98;1.7;27.5;0.3;5
Tubérculos andinos;Papa variedad nativa chimbina amarilla con cáscara;68;2.3;21;0.2;6.2
Tubérculos andinos;Papa variedad nativa huagalina con cáscara;54;2.4;18.3;0.2;7.1
Tubérculos andinos;Papa variedad nativa hualash con cáscara;54;2;17.6;0.4;6.6
Tubérculos andinos;Papa variedad nativa huayro con cáscara;76;1.7;21.8;0.2;4.5
Tubérculos andinos;Papa variedad nativa huevo de toro con cáscara;72;2.4;22.4;0.3;6.8
Tubérculos andinos;Papa variedad nativa limeña con cáscara;68;2.5;20.9;0.3;6.3
Tubérculos andinos;Papa variedad nativa maga blanca con cáscara;65;3;18.9;0.3;5.4
Tubérculos andinos;Papa variedad nativa peruanita con cáscara;78;2;22.4;0.3;5.1
Tubérculos andinos;Papa variedad nativa puca pampamachay con cáscara ;81;2;24.8;0.2;6.4
Tubérculos andinos;Papa variedad nativa Puca pishgosh con cáscara;99;1.9;27.5;0.5;5
Tubérculos andinos;Papa variedad nativa quinuapa tulum con cáscara;70;1.9;21.8;0.5;6.7
Tubérculos andinos;Papa variedad nativa sapa negra con cáscara;72;2.2;22.6;0.3;6.9
Tubérculos andinos;Papa variedad nativa yana shaque con cáscara;108;1.8;29.1;0.4;4.5
